id,Timestamp,ComponentID,ComponentState,SystemType,TestMode,ParticipantID,ParticipantSex,ParticipantAge
0,28.7185,HV700,Open,PackedGreen,Screen,6,Female,23
1,28.7185,HV700,Open,PackedGreen,Screen,6,Female,23
2,28.7185,HV701,Close,PackedGreen,Screen,6,Female,23
3,28.7185,HV701,Close,PackedGreen,Screen,6,Female,23
4,33.73997,HV700,Open,PackedGreen,Screen,6,Female,23
5,33.73997,HV700,Open,PackedGreen,Screen,6,Female,23
6,33.73997,HV701,Open,PackedGreen,Screen,6,Female,23
7,33.73997,HV701,Open,PackedGreen,Screen,6,Female,23
8,33.73997,FIC703,Close,PackedGreen,Screen,6,Female,23
9,33.73997,FIC703,Close,PackedGreen,Screen,6,Female,23
10,39.70338,HV700,Open,PackedGreen,Screen,6,Female,23
11,39.70338,HV700,Open,PackedGreen,Screen,6,Female,23
12,39.70338,HV701,Open,PackedGreen,Screen,6,Female,23
13,39.70338,HV701,Open,PackedGreen,Screen,6,Female,23
14,39.70338,FIC703,Open,PackedGreen,Screen,6,Female,23
15,39.70338,FIC703,Open,PackedGreen,Screen,6,Female,23
16,39.70338,HV806,0,PackedGreen,Screen,6,Female,23
17,39.70338,HV806,0,PackedGreen,Screen,6,Female,23
18,67.20277,HV700,Open,PackedGreen,Screen,6,Female,23
19,67.20277,HV700,Open,PackedGreen,Screen,6,Female,23
20,67.20277,HV701,Open,PackedGreen,Screen,6,Female,23
21,67.20277,HV701,Open,PackedGreen,Screen,6,Female,23
22,67.20277,FIC703,Open,PackedGreen,Screen,6,Female,23
23,67.20277,FIC703,Open,PackedGreen,Screen,6,Female,23
24,67.20277,HV806,1,PackedGreen,Screen,6,Female,23
25,67.20277,HV806,1,PackedGreen,Screen,6,Female,23
26,67.20277,PRV807,0,PackedGreen,Screen,6,Female,23
27,67.20277,PRV807,0,PackedGreen,Screen,6,Female,23
28,70.29947,HV700,Open,PackedGreen,Screen,6,Female,23
29,70.29947,HV700,Open,PackedGreen,Screen,6,Female,23
30,70.29947,HV701,Open,PackedGreen,Screen,6,Female,23
31,70.29947,HV701,Open,PackedGreen,Screen,6,Female,23
32,70.29947,FIC703,Open,PackedGreen,Screen,6,Female,23
33,70.29947,FIC703,Open,PackedGreen,Screen,6,Female,23
34,70.29947,HV806,2,PackedGreen,Screen,6,Female,23
35,70.29947,HV806,2,PackedGreen,Screen,6,Female,23
36,70.29947,PRV807,0,PackedGreen,Screen,6,Female,23
37,70.29947,PRV807,0,PackedGreen,Screen,6,Female,23
38,82.17102,HV700,Open,PackedGreen,Screen,6,Female,23
39,82.17102,HV700,Open,PackedGreen,Screen,6,Female,23
40,82.17102,HV701,Open,PackedGreen,Screen,6,Female,23
41,82.17102,HV701,Open,PackedGreen,Screen,6,Female,23
42,82.17102,FIC703,Open,PackedGreen,Screen,6,Female,23
43,82.17102,FIC703,Open,PackedGreen,Screen,6,Female,23
44,82.17102,HV806,2,PackedGreen,Screen,6,Female,23
45,82.17102,HV806,2,PackedGreen,Screen,6,Female,23
46,82.17102,PRV807,0,PackedGreen,Screen,6,Female,23
47,82.17102,PRV807,0,PackedGreen,Screen,6,Female,23
48,86.17622,HV700,Open,PackedGreen,Screen,6,Female,23
49,86.17622,HV700,Open,PackedGreen,Screen,6,Female,23
50,86.17622,HV701,Open,PackedGreen,Screen,6,Female,23
51,86.17622,HV701,Open,PackedGreen,Screen,6,Female,23
52,86.17622,FIC703,Open,PackedGreen,Screen,6,Female,23
53,86.17622,FIC703,Open,PackedGreen,Screen,6,Female,23
54,86.17622,HV806,2,PackedGreen,Screen,6,Female,23
55,86.17622,HV806,2,PackedGreen,Screen,6,Female,23
56,86.17622,PRV807,1,PackedGreen,Screen,6,Female,23
57,86.17622,PRV807,1,PackedGreen,Screen,6,Female,23
58,86.17622,HV704,Close,PackedGreen,Screen,6,Female,23
59,86.17622,HV704,Close,PackedGreen,Screen,6,Female,23
60,141.9712,HV700,Open,PackedGreen,Screen,6,Female,23
61,141.9712,HV700,Open,PackedGreen,Screen,6,Female,23
62,141.9712,HV701,Open,PackedGreen,Screen,6,Female,23
63,141.9712,HV701,Open,PackedGreen,Screen,6,Female,23
64,141.9712,FIC703,Open,PackedGreen,Screen,6,Female,23
65,141.9712,FIC703,Open,PackedGreen,Screen,6,Female,23
66,141.9712,HV806,2,PackedGreen,Screen,6,Female,23
67,141.9712,HV806,2,PackedGreen,Screen,6,Female,23
68,141.9712,PRV807,1,PackedGreen,Screen,6,Female,23
69,141.9712,PRV807,1,PackedGreen,Screen,6,Female,23
70,141.9712,HV704,Close,PackedGreen,Screen,6,Female,23
71,141.9712,HV704,Close,PackedGreen,Screen,6,Female,23
72,159.8402,HV700,Open,PackedGreen,Screen,6,Female,23
73,159.8402,HV700,Open,PackedGreen,Screen,6,Female,23
74,159.8402,HV701,Open,PackedGreen,Screen,6,Female,23
75,159.8402,HV701,Open,PackedGreen,Screen,6,Female,23
76,159.8402,FIC703,Open,PackedGreen,Screen,6,Female,23
77,159.8402,FIC703,Open,PackedGreen,Screen,6,Female,23
78,159.8402,HV806,2,PackedGreen,Screen,6,Female,23
79,159.8402,HV806,2,PackedGreen,Screen,6,Female,23
80,159.8402,PRV807,1,PackedGreen,Screen,6,Female,23
81,159.8402,PRV807,1,PackedGreen,Screen,6,Female,23
82,159.8402,HV704,Open,PackedGreen,Screen,6,Female,23
83,159.8402,HV705,Open,PackedGreen,Screen,6,Female,23
84,159.8402,HV704,Open,PackedGreen,Screen,6,Female,23
85,159.8402,HV705,Open,PackedGreen,Screen,6,Female,23
86,159.8402,HV203,Close,PackedGreen,Screen,6,Female,23
87,159.8402,HV203,Close,PackedGreen,Screen,6,Female,23
88,166.0795,HV203,Open,PackedGreen,Screen,6,Female,23
89,166.0795,HV203,Open,PackedGreen,Screen,6,Female,23
90,166.0795,FIC204,Close,PackedGreen,Screen,6,Female,23
91,166.0795,FIC204,Close,PackedGreen,Screen,6,Female,23
92,177.7189,HV203,Open,PackedGreen,Screen,6,Female,23
93,177.7189,HV203,Open,PackedGreen,Screen,6,Female,23
94,177.7189,FIC204,Open,PackedGreen,Screen,6,Female,23
95,177.7189,FIC204,Open,PackedGreen,Screen,6,Female,23
96,177.7189,HV403,Open,PackedGreen,Screen,6,Female,23
97,177.7189,HV403,Open,PackedGreen,Screen,6,Female,23
98,192.5368,HV203,Open,PackedGreen,Screen,6,Female,23
99,192.5368,HV203,Open,PackedGreen,Screen,6,Female,23
100,192.5368,FIC204,Open,PackedGreen,Screen,6,Female,23
101,192.5368,FIC204,Open,PackedGreen,Screen,6,Female,23
102,192.5368,HV403,Close,PackedGreen,Screen,6,Female,23
103,192.5368,HV403,Close,PackedGreen,Screen,6,Female,23
104,192.5368,HV402,Close,PackedGreen,Screen,6,Female,23
105,192.5368,HV402,Close,PackedGreen,Screen,6,Female,23
106,196.9122,HV203,Open,PackedGreen,Screen,6,Female,23
107,196.9122,HV203,Open,PackedGreen,Screen,6,Female,23
108,196.9122,FIC204,Open,PackedGreen,Screen,6,Female,23
109,196.9122,FIC204,Open,PackedGreen,Screen,6,Female,23
110,196.9122,HV403,Close,PackedGreen,Screen,6,Female,23
111,196.9122,HV403,Close,PackedGreen,Screen,6,Female,23
112,196.9122,HV402,Open,PackedGreen,Screen,6,Female,23
113,196.9122,HV402,Open,PackedGreen,Screen,6,Female,23
114,196.9122,HV404,Close,PackedGreen,Screen,6,Female,23
115,196.9122,HV404,Close,PackedGreen,Screen,6,Female,23
116,199.8417,HV203,Open,PackedGreen,Screen,6,Female,23
117,199.8417,HV203,Open,PackedGreen,Screen,6,Female,23
118,199.8417,FIC204,Open,PackedGreen,Screen,6,Female,23
119,199.8417,FIC204,Open,PackedGreen,Screen,6,Female,23
120,199.8417,HV403,Close,PackedGreen,Screen,6,Female,23
121,199.8417,HV403,Close,PackedGreen,Screen,6,Female,23
122,199.8417,HV402,Open,PackedGreen,Screen,6,Female,23
123,199.8417,HV402,Open,PackedGreen,Screen,6,Female,23
124,199.8417,HV404,Open,PackedGreen,Screen,6,Female,23
125,199.8417,HV404,Open,PackedGreen,Screen,6,Female,23
126,199.8417,FIC401,Close,PackedGreen,Screen,6,Female,23
127,199.8417,FIC401,Close,PackedGreen,Screen,6,Female,23
128,205.4659,HV203,Open,PackedGreen,Screen,6,Female,23
129,205.4659,HV203,Open,PackedGreen,Screen,6,Female,23
130,205.4659,FIC204,Open,PackedGreen,Screen,6,Female,23
131,205.4659,FIC204,Open,PackedGreen,Screen,6,Female,23
132,205.4659,HV403,Close,PackedGreen,Screen,6,Female,23
133,205.4659,HV403,Close,PackedGreen,Screen,6,Female,23
134,205.4659,HV402,Open,PackedGreen,Screen,6,Female,23
135,205.4659,HV402,Open,PackedGreen,Screen,6,Female,23
136,205.4659,HV404,Open,PackedGreen,Screen,6,Female,23
137,205.4659,HV404,Open,PackedGreen,Screen,6,Female,23
138,205.4659,FIC401,Open,PackedGreen,Screen,6,Female,23
139,205.4659,FIC401,Open,PackedGreen,Screen,6,Female,23
140,205.4659,HV802,Close,PackedGreen,Screen,6,Female,23
141,205.4659,HV802,Close,PackedGreen,Screen,6,Female,23
142,370.7647,HV203,Open,PackedGreen,Screen,6,Female,23
143,370.7647,HV203,Open,PackedGreen,Screen,6,Female,23
144,370.7647,FIC204,Open,PackedGreen,Screen,6,Female,23
145,370.7647,FIC204,Open,PackedGreen,Screen,6,Female,23
146,370.7647,HV403,Close,PackedGreen,Screen,6,Female,23
147,370.7647,HV403,Close,PackedGreen,Screen,6,Female,23
148,370.7647,HV402,Open,PackedGreen,Screen,6,Female,23
149,370.7647,HV402,Open,PackedGreen,Screen,6,Female,23
150,370.7647,HV404,Open,PackedGreen,Screen,6,Female,23
151,370.7647,HV404,Open,PackedGreen,Screen,6,Female,23
152,370.7647,FIC401,Open,PackedGreen,Screen,6,Female,23
153,370.7647,FIC401,Open,PackedGreen,Screen,6,Female,23
154,370.7647,HV802,Open,PackedGreen,Screen,6,Female,23
155,370.7647,HV802,Open,PackedGreen,Screen,6,Female,23
156,370.7647,PRV803,0,PackedGreen,Screen,6,Female,23
157,370.7647,PRV803,0,PackedGreen,Screen,6,Female,23
158,376.26,HV203,Open,PackedGreen,Screen,6,Female,23
159,376.26,HV203,Open,PackedGreen,Screen,6,Female,23
160,376.26,FIC204,Open,PackedGreen,Screen,6,Female,23
161,376.26,FIC204,Open,PackedGreen,Screen,6,Female,23
162,376.26,HV403,Close,PackedGreen,Screen,6,Female,23
163,376.26,HV403,Close,PackedGreen,Screen,6,Female,23
164,376.26,HV402,Open,PackedGreen,Screen,6,Female,23
165,376.26,HV402,Open,PackedGreen,Screen,6,Female,23
166,376.26,HV404,Open,PackedGreen,Screen,6,Female,23
167,376.26,HV404,Open,PackedGreen,Screen,6,Female,23
168,376.26,FIC401,Open,PackedGreen,Screen,6,Female,23
169,376.26,FIC401,Open,PackedGreen,Screen,6,Female,23
170,376.26,HV802,Open,PackedGreen,Screen,6,Female,23
171,376.26,HV802,Open,PackedGreen,Screen,6,Female,23
172,376.26,PRV803,1,PackedGreen,Screen,6,Female,23
173,376.26,PRV803,1,PackedGreen,Screen,6,Female,23
174,376.26,FIC401,Open,PackedGreen,Screen,6,Female,23
175,376.26,FIC401,Open,PackedGreen,Screen,6,Female,23
