id,Timestamp,ComponentID,ComponentState,SystemType,TestMode,ParticipantID,ParticipantSex,ParticipantAge
0,41.15867,HV700,Open,PackedGreen,Screen,5,Male,25
1,41.15867,HV700,Open,PackedGreen,Screen,5,Male,25
2,41.15867,HV701,Close,PackedGreen,Screen,5,Male,25
3,41.15867,HV701,Close,PackedGreen,Screen,5,Male,25
4,43.81564,HV700,Open,PackedGreen,Screen,5,Male,25
5,43.81564,HV700,Open,PackedGreen,Screen,5,Male,25
6,43.81564,HV701,Open,PackedGreen,Screen,5,Male,25
7,43.81564,HV701,Open,PackedGreen,Screen,5,Male,25
8,43.81564,FIC703,Close,PackedGreen,Screen,5,Male,25
9,43.81564,FIC703,Close,PackedGreen,Screen,5,Male,25
10,48.19782,HV700,Open,PackedGreen,Screen,5,Male,25
11,48.19782,HV700,Open,PackedGreen,Screen,5,Male,25
12,48.19782,HV701,Open,PackedGreen,Screen,5,Male,25
13,48.19782,HV701,Open,PackedGreen,Screen,5,Male,25
14,48.19782,FIC703,Open,PackedGreen,Screen,5,Male,25
15,48.19782,FIC703,Open,PackedGreen,Screen,5,Male,25
16,48.19782,HV806,0,PackedGreen,Screen,5,Male,25
17,48.19782,HV806,0,PackedGreen,Screen,5,Male,25
18,55.26569,HV700,Open,PackedGreen,Screen,5,Male,25
19,55.26569,HV700,Open,PackedGreen,Screen,5,Male,25
20,55.26569,HV701,Open,PackedGreen,Screen,5,Male,25
21,55.26569,HV701,Open,PackedGreen,Screen,5,Male,25
22,55.26569,FIC703,Open,PackedGreen,Screen,5,Male,25
23,55.26569,FIC703,Open,PackedGreen,Screen,5,Male,25
24,55.26569,HV806,1,PackedGreen,Screen,5,Male,25
25,55.26569,HV806,1,PackedGreen,Screen,5,Male,25
26,55.26569,PRV807,0,PackedGreen,Screen,5,Male,25
27,55.26569,PRV807,0,PackedGreen,Screen,5,Male,25
28,56.87659,HV700,Open,PackedGreen,Screen,5,Male,25
29,56.87659,HV700,Open,PackedGreen,Screen,5,Male,25
30,56.87659,HV701,Open,PackedGreen,Screen,5,Male,25
31,56.87659,HV701,Open,PackedGreen,Screen,5,Male,25
