id,Timestamp,ComponentID,ComponentState,SystemType,TestMode,ParticipantID,ParticipantSex,ParticipantAge
0,25.05908,HV700,Open,PackedGreen,VR,5,Male,27
1,25.05908,HV700,Open,PackedGreen,VR,5,Male,27
2,25.05908,HV701,Close,PackedGreen,VR,5,Male,27
3,25.05908,HV701,Close,PackedGreen,VR,5,Male,27
4,28.64199,HV700,Open,PackedGreen,VR,5,Male,27
5,28.64199,HV700,Open,PackedGreen,VR,5,Male,27
6,28.64199,HV701,Open,PackedGreen,VR,5,Male,27
7,28.64199,HV701,Open,PackedGreen,VR,5,Male,27
8,28.64199,FIC703,Close,PackedGreen,VR,5,Male,27
9,28.64199,FIC703,Close,PackedGreen,VR,5,Male,27
10,38.58838,HV700,Open,PackedGreen,VR,5,Male,27
11,38.58838,HV700,Open,PackedGreen,VR,5,Male,27
12,38.58838,HV701,Open,PackedGreen,VR,5,Male,27
13,38.58838,HV701,Open,PackedGreen,VR,5,Male,27
14,38.58838,FIC703,Open,PackedGreen,VR,5,Male,27
15,38.58838,FIC703,Open,PackedGreen,VR,5,Male,27
16,38.58838,HV806,0,PackedGreen,VR,5,Male,27
17,38.58838,HV806,0,PackedGreen,VR,5,Male,27
18,59.55996,HV700,Open,PackedGreen,VR,5,Male,27
19,59.55996,HV700,Open,PackedGreen,VR,5,Male,27
20,59.55996,HV701,Open,PackedGreen,VR,5,Male,27
21,59.55996,HV701,Open,PackedGreen,VR,5,Male,27
22,59.55996,FIC703,Open,PackedGreen,VR,5,Male,27
23,59.55996,FIC703,Open,PackedGreen,VR,5,Male,27
24,59.55996,HV806,1,PackedGreen,VR,5,Male,27
25,59.55996,HV806,1,PackedGreen,VR,5,Male,27
26,59.55996,PRV807,0,PackedGreen,VR,5,Male,27
27,59.55996,PRV807,0,PackedGreen,VR,5,Male,27
28,62.72601,HV700,Open,PackedGreen,VR,5,Male,27
29,62.72601,HV700,Open,PackedGreen,VR,5,Male,27
30,62.72601,HV701,Open,PackedGreen,VR,5,Male,27
31,62.72601,HV701,Open,PackedGreen,VR,5,Male,27
32,62.72601,FIC703,Open,PackedGreen,VR,5,Male,27
33,62.72601,FIC703,Open,PackedGreen,VR,5,Male,27
34,62.72601,HV806,1,PackedGreen,VR,5,Male,27
35,62.72601,HV806,1,PackedGreen,VR,5,Male,27
36,62.72601,PRV807,1,PackedGreen,VR,5,Male,27
37,62.72601,PRV807,1,PackedGreen,VR,5,Male,27
38,62.72601,HV704,Close,PackedGreen,VR,5,Male,27
39,62.72601,HV704,Close,PackedGreen,VR,5,Male,27
40,84.03252,HV700,Open,PackedGreen,VR,5,Male,27
41,84.03252,HV700,Open,PackedGreen,VR,5,Male,27
42,84.03252,HV701,Open,PackedGreen,VR,5,Male,27
43,84.03252,HV701,Open,PackedGreen,VR,5,Male,27
44,84.03252,FIC703,Open,PackedGreen,VR,5,Male,27
45,84.03252,FIC703,Open,PackedGreen,VR,5,Male,27
46,84.03252,HV806,1,PackedGreen,VR,5,Male,27
47,84.03252,HV806,1,PackedGreen,VR,5,Male,27
48,84.03252,PRV807,1,PackedGreen,VR,5,Male,27
49,84.03252,PRV807,1,PackedGreen,VR,5,Male,27
50,84.03252,HV704,Open,PackedGreen,VR,5,Male,27
51,84.03252,HV705,Close,PackedGreen,VR,5,Male,27
52,84.03252,HV704,Open,PackedGreen,VR,5,Male,27
53,84.03252,HV705,Close,PackedGreen,VR,5,Male,27
54,87.11587,HV700,Open,PackedGreen,VR,5,Male,27
55,87.11587,HV700,Open,PackedGreen,VR,5,Male,27
56,87.11587,HV701,Open,PackedGreen,VR,5,Male,27
57,87.11587,HV701,Open,PackedGreen,VR,5,Male,27
58,87.11587,FIC703,Open,PackedGreen,VR,5,Male,27
59,87.11587,FIC703,Open,PackedGreen,VR,5,Male,27
60,87.11587,HV806,1,PackedGreen,VR,5,Male,27
61,87.11587,HV806,1,PackedGreen,VR,5,Male,27
62,87.11587,PRV807,1,PackedGreen,VR,5,Male,27
63,87.11587,PRV807,1,PackedGreen,VR,5,Male,27
64,87.11587,HV704,Open,PackedGreen,VR,5,Male,27
65,87.11587,HV705,Open,PackedGreen,VR,5,Male,27
66,87.11587,HV704,Open,PackedGreen,VR,5,Male,27
67,87.11587,HV705,Open,PackedGreen,VR,5,Male,27
68,87.11587,HV203,Close,PackedGreen,VR,5,Male,27
69,87.11587,HV203,Close,PackedGreen,VR,5,Male,27
70,99.23954,HV203,Open,PackedGreen,VR,5,Male,27
71,99.23954,HV203,Open,PackedGreen,VR,5,Male,27
72,99.23954,FIC204,Close,PackedGreen,VR,5,Male,27
73,99.23954,FIC204,Close,PackedGreen,VR,5,Male,27
74,99.23954,HV203,Close,PackedGreen,VR,5,Male,27
75,99.23954,HV203,Close,PackedGreen,VR,5,Male,27
76,100.7397,HV203,Close,PackedGreen,VR,5,Male,27
77,100.7397,HV203,Close,PackedGreen,VR,5,Male,27
78,103.7816,HV203,Close,PackedGreen,VR,5,Male,27
79,103.7816,HV203,Close,PackedGreen,VR,5,Male,27
80,108.0173,HV203,Close,PackedGreen,VR,5,Male,27
81,108.0173,HV203,Close,PackedGreen,VR,5,Male,27
82,112.4746,HV203,Close,PackedGreen,VR,5,Male,27
83,112.4746,HV203,Close,PackedGreen,VR,5,Male,27
84,115.0567,HV203,Close,PackedGreen,VR,5,Male,27
85,115.0567,HV203,Close,PackedGreen,VR,5,Male,27
86,120.4745,HV203,Close,PackedGreen,VR,5,Male,27
87,120.4745,HV203,Close,PackedGreen,VR,5,Male,27
88,122.7799,HV203,Close,PackedGreen,VR,5,Male,27
89,122.7799,HV203,Close,PackedGreen,VR,5,Male,27
90,123.9041,HV203,Close,PackedGreen,VR,5,Male,27
91,123.9041,HV203,Close,PackedGreen,VR,5,Male,27
92,125.001,HV203,Close,PackedGreen,VR,5,Male,27
93,125.001,HV203,Close,PackedGreen,VR,5,Male,27
94,132.9718,HV203,Open,PackedGreen,VR,5,Male,27
95,132.9718,HV203,Open,PackedGreen,VR,5,Male,27
96,132.9718,FIC204,Open,PackedGreen,VR,5,Male,27
97,132.9718,FIC204,Open,PackedGreen,VR,5,Male,27
98,132.9718,HV403,Open,PackedGreen,VR,5,Male,27
99,132.9718,HV403,Open,PackedGreen,VR,5,Male,27
100,148.1091,HV203,Open,PackedGreen,VR,5,Male,27
101,148.1091,HV203,Open,PackedGreen,VR,5,Male,27
102,148.1091,FIC204,Open,PackedGreen,VR,5,Male,27
103,148.1091,FIC204,Open,PackedGreen,VR,5,Male,27
104,148.1091,HV403,Close,PackedGreen,VR,5,Male,27
105,148.1091,HV403,Close,PackedGreen,VR,5,Male,27
106,148.1091,HV402,Close,PackedGreen,VR,5,Male,27
107,148.1091,HV402,Close,PackedGreen,VR,5,Male,27
108,152.4155,HV203,Open,PackedGreen,VR,5,Male,27
109,152.4155,HV203,Open,PackedGreen,VR,5,Male,27
110,152.4155,FIC204,Open,PackedGreen,VR,5,Male,27
111,152.4155,FIC204,Open,PackedGreen,VR,5,Male,27
112,152.4155,HV403,Open,PackedGreen,VR,5,Male,27
113,152.4155,HV403,Open,PackedGreen,VR,5,Male,27
114,155.9978,HV203,Open,PackedGreen,VR,5,Male,27
115,155.9978,HV203,Open,PackedGreen,VR,5,Male,27
116,155.9978,FIC204,Open,PackedGreen,VR,5,Male,27
117,155.9978,FIC204,Open,PackedGreen,VR,5,Male,27
118,155.9978,HV403,Close,PackedGreen,VR,5,Male,27
119,155.9978,HV403,Close,PackedGreen,VR,5,Male,27
120,155.9978,HV402,Close,PackedGreen,VR,5,Male,27
121,155.9978,HV402,Close,PackedGreen,VR,5,Male,27
122,160.3861,HV203,Open,PackedGreen,VR,5,Male,27
123,160.3861,HV203,Open,PackedGreen,VR,5,Male,27
124,160.3861,FIC204,Open,PackedGreen,VR,5,Male,27
125,160.3861,FIC204,Open,PackedGreen,VR,5,Male,27
126,160.3861,HV403,Close,PackedGreen,VR,5,Male,27
127,160.3861,HV403,Close,PackedGreen,VR,5,Male,27
128,160.3861,HV402,Open,PackedGreen,VR,5,Male,27
129,160.3861,HV402,Open,PackedGreen,VR,5,Male,27
130,160.3861,HV404,Close,PackedGreen,VR,5,Male,27
131,160.3861,HV404,Close,PackedGreen,VR,5,Male,27
132,168.4008,HV203,Open,PackedGreen,VR,5,Male,27
133,168.4008,HV203,Open,PackedGreen,VR,5,Male,27
134,168.4008,FIC204,Open,PackedGreen,VR,5,Male,27
135,168.4008,FIC204,Open,PackedGreen,VR,5,Male,27
136,168.4008,HV403,Close,PackedGreen,VR,5,Male,27
137,168.4008,HV403,Close,PackedGreen,VR,5,Male,27
138,168.4008,HV402,Open,PackedGreen,VR,5,Male,27
139,168.4008,HV402,Open,PackedGreen,VR,5,Male,27
140,168.4008,HV404,Open,PackedGreen,VR,5,Male,27
141,168.4008,HV404,Open,PackedGreen,VR,5,Male,27
142,168.4008,FIC401,Close,PackedGreen,VR,5,Male,27
143,168.4008,FIC401,Close,PackedGreen,VR,5,Male,27
144,174.0238,HV203,Open,PackedGreen,VR,5,Male,27
145,174.0238,HV203,Open,PackedGreen,VR,5,Male,27
146,174.0238,FIC204,Open,PackedGreen,VR,5,Male,27
147,174.0238,FIC204,Open,PackedGreen,VR,5,Male,27
148,174.0238,HV403,Close,PackedGreen,VR,5,Male,27
149,174.0238,HV403,Close,PackedGreen,VR,5,Male,27
150,174.0238,HV402,Open,PackedGreen,VR,5,Male,27
151,174.0238,HV402,Open,PackedGreen,VR,5,Male,27
152,174.0238,HV404,Open,PackedGreen,VR,5,Male,27
153,174.0238,HV404,Open,PackedGreen,VR,5,Male,27
154,174.0238,FIC401,Open,PackedGreen,VR,5,Male,27
155,174.0238,FIC401,Open,PackedGreen,VR,5,Male,27
156,174.0238,HV802,Close,PackedGreen,VR,5,Male,27
157,174.0238,HV802,Close,PackedGreen,VR,5,Male,27
158,234.7418,HV203,Open,PackedGreen,VR,5,Male,27
159,234.7418,HV203,Open,PackedGreen,VR,5,Male,27
160,234.7418,FIC204,Open,PackedGreen,VR,5,Male,27
161,234.7418,FIC204,Open,PackedGreen,VR,5,Male,27
162,234.7418,HV403,Close,PackedGreen,VR,5,Male,27
163,234.7418,HV403,Close,PackedGreen,VR,5,Male,27
164,234.7418,HV402,Open,PackedGreen,VR,5,Male,27
165,234.7418,HV402,Open,PackedGreen,VR,5,Male,27
166,234.7418,HV404,Open,PackedGreen,VR,5,Male,27
167,234.7418,HV404,Open,PackedGreen,VR,5,Male,27
168,234.7418,FIC401,Open,PackedGreen,VR,5,Male,27
169,234.7418,FIC401,Open,PackedGreen,VR,5,Male,27
170,234.7418,HV802,Close,PackedGreen,VR,5,Male,27
171,234.7418,HV802,Close,PackedGreen,VR,5,Male,27
172,248.9886,HV203,Open,PackedGreen,VR,5,Male,27
173,248.9886,HV203,Open,PackedGreen,VR,5,Male,27
174,248.9886,FIC204,Open,PackedGreen,VR,5,Male,27
175,248.9886,FIC204,Open,PackedGreen,VR,5,Male,27
176,248.9886,HV403,Close,PackedGreen,VR,5,Male,27
177,248.9886,HV403,Close,PackedGreen,VR,5,Male,27
178,248.9886,HV402,Open,PackedGreen,VR,5,Male,27
